,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2020,,
COUNTY,Harvested Area (HA),Production (MT),Yield (MT/HA),Harvested Area (HA),Production (MT),Yield (MT/HA),Harvested Area (HA),Production (MT),Yield (MT/HA),Harvested Area (HA),Production (MT),Yield (MT/HA),Harvested Area (HA),Production (MT),Yield (MT/HA), Area (HA)  2017, Production (MT)  2017,Yield(MT/HA),Area Ha 2018,Quantity Ton 2018,Yield(MT/HA),Area (Ha) 2020,Production (MT) 2020,Yield (MT/HA)
Isiolo, 987 , 979 ,0.99," 1,015 "," 1,073 ",1.06," 1,385 ", 657 ,0.47," 1,017 "," 1,231 ",1.21,708,475,0.67,568,444,0.78,358,287.5,0.80,586,41.78,0.0712665245202559
Kajiado," 30,145 "," 2,218 ",0.07," 34,721 "," 63,460 ",1.83," 31,020 "," 73,396 ",2.37," 38,055 "," 20,004 ",0.53,"32,682","11,016",0.34,"15,123","12,751",0.84,16663,18698,1.12,"17,384",15542.75,0.894083640128854
Kakamega," 76,285 "," 172,308 ",2.26," 73,463 "," 172,683 ",2.35," 70,993 "," 182,397 ",2.57," 78,271 "," 224,225 ",2.86,"78,344","172,350",2.20,"90,572","227,237",2.51,95387,238290.55,2.50,"83,773",226888.01,2.70836677688515
Kericho," 41,971 "," 98,549 ",2.35," 41,170 "," 80,022 ",1.94," 41,041 "," 68,913 ",1.68," 39,602 "," 85,698 ",2.16,"38,086","91,832",2.41,"32,843","103,245",3.14,33461,105402.15,3.15,"34,397",92730.9,2.69590080530279
Kiambu," 44,821 "," 27,831 ",0.62," 43,210 "," 21,609 ",0.50," 24,450 "," 7,384 ",0.30," 33,357 "," 58,260 ",1.75,"39,670","55,837",1.41,"41,322","35,506",0.86,29434,32219,1.09,"31,528",43258.98,1.37208132453692
Kilifi," 70,672 "," 18,625 ",0.26, 647 , 310 ,0.48, 653 , 300 ,0.46," 88,592 "," 103,830 ",1.17,"66,396","28,114",0.42,"61,225","48,121",0.79,60617,54675.35,0.90,"71,782",44584.63,0.621112425277124
Kirinyaga," 31,935 "," 46,562 ",1.46," 40,103 "," 48,237 ",1.20," 32,992 "," 37,183 ",1.13," 38,181 "," 58,896 ",1.54,"34,776","30,168",0.87,"36,795","37,756",1.03,30877,33347.18,1.08,"30,505",40280.83,1.32046648090477
Kisii," 59,635 "," 97,513 ",1.64," 63,710 "," 131,023 ",2.06," 62,210 "," 119,703 ",1.92," 76,160 "," 100,231 ",1.32,"73,253","96,054",1.31,"75,038","168,102",2.24,74162,154181.9,2.08,"67,286",132789.63,1.97352520230956
Kisumu," 33,395 "," 97,513 ",2.92," 32,069 "," 61,453 ",1.92," 27,150 "," 54,651 ",2.01," 34,564 "," 41,699 ",1.21,"52,074","20,605",0.40,"51,096","53,777",1.05,50470,70913.5,1.41,"46,307",67306.55,1.45348543416762
Kitui," 77,210 "," 55,238 ",0.72," 93,600 "," 37,499 ",0.40," 84,763 "," 30,585 ",0.36," 88,840 "," 48,470 ",0.55,"87,751","7,433",0.08,"69,833","10,893",0.16,80244,22966.65,0.29,"87,252",27959.98,0.320450877916839
Kwale," 39,490 "," 13,225 ",0.33," 39,910 "," 13,245 ",0.33," 34,644 "," 31,473 ",0.91," 62,675 "," 77,693 ",1.24,"59,978","20,170",0.34,"68,955","80,498",1.17,68886,62102.7595214844,0.90,"56,576",34060.74,0.602035138574661
Laikipia," 36,163 "," 119,852 ",3.31," 5,665 "," 4,979 ",0.88," 6,175 "," 6,471 ",1.05," 30,616 "," 42,554 ",1.39,"273,056","46,655",0.17,"24,635","46,553",1.89,26313,48007.3,1.82,"26,470",39421.82,1.48930185115225
Lamu," 20,127 "," 19,410 ",0.96," 21,324 "," 33,585 ",1.58," 35,261 "," 35,550 ",1.01," 21,606 "," 46,129 ",2.14,"17,020","17,973",1.06,"25,332","31,344",1.24,22704,29025,1.28,"37,500",28325,0.755333333333333
Machakos," 149,338 "," 90,926 ",0.61," 133,408 "," 92,099 ",0.69," 139,090 "," 62,477 ",0.45," 125,652 "," 121,682 ",0.97,"86,252","76,144",0.88,"129,010","63,984",0.50,130298,81373.55,0.62,"133,795",40926.5,0.305889607234949
Makueni," 102,825 "," 71,782 ",0.70," 183,338 "," 82,784 ",0.45," 181,089 "," 77,440 ",0.43," 129,854 "," 131,812 ",1.02,"132,320","73,384",0.55,"108,570","26,400",0.24,123311,62758.6,0.51,"146,562",51268,0.34980417843643
Mandera, 215 ," 1,325 ",0.00," 1,987 "," 1,325 ",0.67," 2,682 "," 1,609 ",0.60, 788 , 278 ,0.35,780,380,0.49,"3,071","1,441",0.47,1060,347,0.33,"3,708",1846.75,0.49804476806904
Marsabit, 274 , 214 ,0.78, 990 , 987 ,1.00," 1,571 "," 1,582 ",1.01, 631 , 646 ,1.02,537,282,0.53,537,283,0.53,72012,74726.3,1.04,"1,023",292.5,0.285923753665689
Meru," 96,244 "," 142,499 ",1.48," 95,594 "," 92,646 ",0.97," 110,489 "," 111,955 ",1.01," 91,106 "," 106,046 ",1.16,"79,798","89,570",1.12,"44,354","33,233",0.75,82153,128126.34,1.56,"67,416",74756.97,1.10889061943752
Migori," 78,580 "," 97,513 ",1.24," 54,974 "," 42,155 ",0.77," 67,485 "," 83,703 ",1.24," 65,583 "," 149,296 ",2.28,"37,989","35,200",0.93,"80,312","108,922",1.36,439,308.92,0.70,"78,222",95965.83,1.22684314441404
Mombasa," 1,003 ", 451 ,0.45," 1,001 ", 406 ,0.41, 653 , 338 ,0.52, 672 , 522 ,0.78,860,86,0.10,798,680,0.85,65701,71793.25,1.09,606,289,0.476897689768977
Murang'a," 56,654 "," 50,462 ",0.89," 61,416 "," 56,853 ",0.93," 61,543 "," 52,266 ",0.85," 64,484 "," 71,149 ",1.10,"64,746","48,054",0.74,"60,242","38,133",0.63,803.9,458.19,0.57,"66,381",63653.3,0.958908422590802
Nairobi ," 1,018 ", 852 ,0.84," 1,017 ", 802 ,0.79, 913 , 740 ,0.81, 919 ," 1,157 ",1.26,954,"1,049",1.10,854,551,0.65,86102,238002.4,2.76,0,0,0
Nakuru," 89,649 "," 298,974 ",3.33," 90,690 "," 231,412 ",2.55," 86,504 "," 158,914 ",1.84," 73,191 "," 114,687 ",1.57,"88,021","207,404",2.36,"88,686","206,509",2.33,47830,179198.25,3.75,684,971.84,1.42165008777063
Nandi," 73,552 "," 217,360 ",2.96," 70,519 "," 170,034 ",2.41," 74,045 "," 167,219 ",2.26," 67,593 "," 189,229 ",2.80,"69,933","204,437",2.92,"64,578","197,272",3.05,19621,50538.05,2.58,"64,963",206150.53,3.17335298554562
Narok," 109,940 "," 184,295 ",1.68," 113,550 "," 314,412 ",2.77," 112,079 "," 267,769 ",2.39," 124,999 "," 201,348 ",1.61,"103,500","242,735",2.35,"102,258","231,294",2.26,91602,208306.85,2.27,"59,746",168253.99,2.81615488903023
Nyamira," 54,820 "," 97,513 ",1.78," 53,270 "," 62,422 ",1.17," 35,549 "," 41,115 ",1.16," 40,989 "," 61,547 ",1.50,"41,689","55,492",1.33,"51,800","74,189",1.43,60101,91040.7,1.51,"116,717",202854.5,1.7380030329772
Nyandarua," 19,588 "," 27,442 ",1.40," 10,490 "," 15,683 ",1.50," 10,366 "," 13,103 ",1.26," 17,537 "," 26,035 ",1.48,"16,290","20,484",1.26,"18,744","25,080",1.34,21295,35705,1.68,"42,730",67562.75,1.5811549262813
